"
Term","
School","Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201390,HM,1,BIB,REL,313,10051,Historic Christian Belief,930,1045,TR,AYRES,215,A,Roger Ringenberg,3,3,45,-5,,YES
201390,HM,1,BIB,REL,313,10052,Historic Christian Belief,1400,1515,TR,AYRES,215,A,Joseph Pak,3,3,45,1,,
201410,HM,1,BIB,BIB,103,20866,Intro to Holy Land Studies-CC,,,,JUC,,K,Richard Smith,3,3,10,10,YES,
201410,HM,1,BIB,BIB,103,21142,Intro to Holy Land Studies-CC,,,,JUC,,K,Richard Smith,3,3,5,5,YES,
201410,HM,1,BIB,BIB,110,20504,Biblical Literature I,800,950,MWF,READE,211,A,Sheri Klouda,3,3,45,-4,,YES
201410,HM,1,BIB,BIB,110,20504,Biblical Literature I,800,1020,TR,READE,211,A,Sheri Klouda,0,0,0,0,,YES
201410,HM,1,BIB,BIB,203,20497,In the Footsteps of Paul-CC,,,,OCP,,K,Faye Chechowich,3,3,44,1,,
201410,HM,1,BIB,BIB,204,21146,Intro to Holy Land Studies-CC,,,,JUC,,K,Richard Smith,3,3,10,-2,,YES
201410,HM,1,BIB,BIB,210,20093,Biblical Literature II,1300,1500,MTWRF,NS,121,A,Gregory MaGee,3,3,40,-1,,YES
201410,HM,1,BIB,BIB,210,21336,Biblical Literature II,800,950,MWF,NS,121,A,BIB Adjunct,3,3,45,19,,
201410,HM,1,BIB,BIB,210,21336,Biblical Literature II,800,1020,TR,NS,121,A,BIB Adjunct,0,0,45,19,,
201410,HM,1,BIB,BIB,313,21358,IS Romans,,,,,,I,Edward Meadors,3,3,1,0,YES,YES
201410,HM,1,BIB,CED,221,20926,Ministry to Youth,1300,1515,MTWRF,AYRES,212,A,Michael Severe,3,3,45,38,,
201410,HM,1,BIB,CED,493,20005,Christian Ed Min Sr Capstone,1300,1500,MTWRF,READE,128,S,Philip Collins,3,3,35,23,,
201410,HM,1,BIB,PHI,382,21051,Ethics Bowl,1600,1730,TR,READE,127,A,James Spiegel,1,1,12,11,YES,
201410,HM,1,BIB,PHI,382H,21052,Ethics Bowl-Hon,1600,1730,TR,READE,127,A,James Spiegel,1,1,12,12,YES,
201410,HM,1,BIB,PHI,413CC,20412,Contemp Christian Belief-CC,1300,1510,MTWRF,,,A,Bradley Seeman,3,3,45,27,,
201410,HM,1,BIB,PHI,413,21125,Contemporary Christian Belief,900,950,MWF,RA,SR,A,Kevin Diller,3,3,45,-8,,YES
201410,HM,1,BIB,PHI,413,21125,Contemporary Christian Belief,1000,1200,TR,RA,SR,A,Kevin Diller,0,0,0,0,,YES
201410,HM,1,BIB,PHI,413,21125,Contemporary Christian Belief,1100,1200,MWF,RA,SR,A,Kevin Diller,0,0,0,0,,YES
201410,HM,1,BIB,PHI,413,21296,Contemporary Christian Belief,,,,,,A,James Spiegel,3,3,20,7,,
201410,HM,1,BIB,REL,270H,21304,Church Hist & Recon--Hon,,,,READE,221,A,Michael Harbin,3,3,31,0,,YES
201410,HM,1,BIB,REL,303,21041,"7 Cities, 7 Coun, Hist Doc-CC",1300,1630,MTWRF,READE,212,A,William Heth,3,3,35,15,,
201410,HM,1,BIB,REL,313,20006,Historic Christian Belief,1300,1510,MTWRF,READE,238,A,Joseph Pak,3,3,45,-4,,YES
201410,HM,1,BIB,REL,313,21318,Historic Christian Belief,,,,,,A,James Spiegel,3,3,8,1,,
201390,HM,1,BIB,ISP,355,15212,Celtic Christianity,,,,IRD,,T,Michael Harbin,3,3,1,-1,YES,YES
201420,HM,1,BIB,BIB,110,30014,Biblical Literature I,900,950,MWF,AYRES,215,A,Sheri Klouda,3,3,45,0,,YES
201420,HM,1,BIB,BIB,110,30016,Biblical Literature I,1200,1250,MWF,READE,211,A,Sheri Klouda,3,3,45,15,,
201420,HM,1,BIB,BIB,110,30017,Biblical Literature I,1400,1450,MWF,READE,238,A,Richard Smith,3,3,45,20,,
201420,HM,1,BIB,BIB,110,33477,Biblical Literature I,1230,1345,TR,READE,211,A,Joseph Pak,3,3,45,18,,
201420,HM,1,BIB,BIB,110,34948,Biblical Literature I,1100,1150,MWF,READE,240,A,Richard Smith,3,3,45,18,,
201420,HM,1,BIB,BIB,210,30018,Biblical Literature II,1100,1150,MWF,READE,211,A,Gregory MaGee,3,3,45,1,,
201420,HM,1,BIB,BIB,210,30019,Biblical Literature II,1400,1450,MWF,READE,211,A,William Heth,3,3,45,2,,
201420,HM,1,BIB,BIB,210,30020,Biblical Literature II,1300,1350,MWF,AYRES,215,A,Edward Meadors,3,3,45,-1,,YES
201420,HM,1,BIB,BIB,210,30389,Biblical Literature II,800,850,MWF,READE,238,A,Michael Harbin,3,3,45,8,,
201420,HM,1,BIB,BIB,210H,35271,Biblical Literature II-Hon,900,950,MWF,AYRES,212,A,Gregory MaGee,3,3,15,1,,
201420,HM,1,BIB,BIB,270,35802,New Testament & Reconciliation,1230,1345,TR,READE,212,A,Gregory MaGee,3,3,40,26,,
201420,HM,1,BIB,BIB,272,30023,Inductive Study of the Bible,1100,1150,MWF,READE,119,A,Michael Harbin,3,3,15,1,,
201420,HM,1,BIB,BIB,272,35445,Inductive Study of the Bible,1500,1550,MWF,READE,119,A,Philip Collins,3,3,15,1,,
201420,HM,1,BIB,BIB,320,30028,Pentateuch,1300,1350,MWF,READE,127,A,Michael Harbin,3,3,25,0,,YES
201420,HM,1,BIB,BIB,330,30029,Acts and the Early Church,800,850,MWF,READE,127,A,Edward Meadors,3,3,25,0,,YES
201420,HM,1,BIB,BIB,420,35716,Apocalyptic Lit of the Bible,1230,1345,TR,EULER,108,A,Edward Meadors,3,3,25,-2,,YES
201420,HM,1,BIB,BIB,462,30552,Biblical Theology,1500,1550,MWF,READE,127,A,Gregory MaGee,3,3,25,15,,
201420,HM,1,BIB,BIB,493,35803,Biblical LiteratureCapstone-SP,1230,1345,TR,READE,220,G,Richard Smith,3,3,16,10,,
201420,HM,1,BIB,CED,100,30031,Intro Christian Ed Minist-SL,1100,1150,MWF,READE,128,A,Faye Chechowich,3,3,20,9,,
201420,HM,1,BIB,CED,100,35129,Intro Christian Ed Minist-SL,1200,1250,MWF,READE,128,A,Michael Severe,3,3,20,11,,
201420,HM,1,BIB,CED,221,35748,Ministry to Youth,1400,1450,MWF,READE,128,A,Michael Severe,3,3,15,3,,
201420,HM,1,BIB,CED,242,30033,Psy & Edu Found CE Ministry,1400,1450,MWF,READE,241,A,Philip Collins,3,3,35,15,,
201420,HM,1,BIB,CED,262,30035,Pers Found for Ministry-SP,1500,1750,T,RUPP,104,A,BIB Adjunct,3,3,15,3,,
201420,HM,1,BIB,CED,262,30035,Pers Found for Ministry-SP,1500,1750,T,RUPP,104,A,Philip Collins,3,3,15,3,,
201420,HM,1,BIB,CED,262,35538,Pers Found for Ministry-SP,930,1220,R,RUPP,104,A,Philip Collins,3,3,15,1,,
201420,HM,1,BIB,CED,262,35538,Pers Found for Ministry-SP,930,1220,R,RUPP,104,A,BIB Adjunct,3,3,15,1,,
201420,HM,1,BIB,CED,312,35131,Evangelism in Youth Ministry,1500,1650,R,READE,238,A,Michael Severe,2,2,25,17,,
201420,HM,1,BIB,CED,352,30038,Program & Curriculum Develop,1300,1350,MWF,READE,128,A,Michael Severe,3,3,25,8,,
201420,HM,1,BIB,CED,421,30039,Phi & Strat Chr Ed Ministry,1400,1630,T,READE,238,S,Faye Chechowich,3,3,25,13,,
201420,HM,1,BIB,GRK,202,30012,Elementary New Testament Greek,900,950,MTWF,READE,127,A,William Heth,4,4,25,6,,
201420,HM,1,BIB,GRK,302,30013,Exegesis of Greek NT-SP,1100,1150,MWF,READE,127,A,William Heth,3,3,20,4,,
201420,HM,1,BIB,HEB,212,35749,Elem Old Testament Hebrew II,1600,1650,MWF,READE,118,A,Sheri Klouda,3,3,15,8,,
201420,HM,1,BIB,PHI,203,30045,History of Philosophy II,1300,1350,MWF,READE,238,A,Bradley Seeman,3,3,20,5,,
